month,day,hour,WD,WS
4,12,2.0,130.0,2.6
4,12,3.0,130.0,4.1
4,12,4.0,130.0,4.1
4,12,8.0,130.0,2.6
4,12,12.0,130.0,3.1
4,12,13.0,120.0,3.1
4,12,16.0,110.0,2.6
4,12,23.0,100.0,2.1
4,13,8.0,70.0,1.5
4,13,22.0,30.0,2.6
4,14,4.0,20.0,2.1
4,14,10.0,50.0,2.1
4,14,12.0,50.0,1.5
4,14,21.0,70.0,1.5
4,15,4.0,60.0,2.1
4,15,9.0,50.0,1.5
4,15,12.0,70.0,1.5
4,15,13.0,50.0,1.5
4,15,16.0,320.0,3.6
4,15,20.0,270.0,1.5
4,16,2.0,200.0,1.5
4,16,22.0,110.0,2.1
4,17,1.0,110.0,2.6
4,17,3.0,110.0,2.1
4,17,4.0,120.0,2.1
4,17,6.0,110.0,2.1
4,17,7.0,130.0,2.1
4,17,8.0,110.0,2.1
4,17,11.0,120.0,1.5
4,17,13.0,100.0,2.1
4,17,14.0,110.0,2.1
4,17,15.0,110.0,1.5
4,17,21.0,130.0,2.6
4,18,2.0,130.0,1.5
4,18,4.0,120.0,1.5
4,18,6.0,120.0,1.5
4,18,7.0,120.0,1.5
4,19,6.0,110.0,1.5
4,19,13.0,110.0,1.5
4,19,14.0,120.0,1.5
4,19,15.0,120.0,2.1
4,20,1.0,110.0,1.5
4,20,20.0,30.0,2.1
4,20,22.0,300.0,3.1
4,21,8.0,60.0,1.5
4,21,10.0,50.0,2.1
4,21,11.0,70.0,1.5
4,21,15.0,50.0,1.5
4,21,16.0,300.0,2.1
4,22,5.0,70.0,1.5
4,22,10.0,120.0,1.5
4,22,11.0,110.0,2.1
4,22,12.0,110.0,2.1
4,22,13.0,90.0,3.1
4,22,14.0,120.0,1.5
4,22,16.0,120.0,2.1
4,22,18.0,120.0,2.1
4,22,21.0,130.0,2.6
4,23,1.0,130.0,2.1
4,23,9.0,60.0,2.1
4,23,10.0,50.0,1.5
4,23,11.0,50.0,1.5
4,23,12.0,50.0,1.5
4,23,19.0,330.0,2.1
4,23,22.0,110.0,1.5
4,23,23.0,140.0,2.1
4,24,6.0,100.0,2.6
4,24,11.0,90.0,2.1
4,24,12.0,90.0,4.1
4,24,13.0,110.0,1.5
4,24,14.0,130.0,2.1
4,24,16.0,140.0,2.1
4,24,18.0,100.0,4.1
4,24,19.0,120.0,1.5
4,25,9.0,310.0,2.1
4,25,13.0,50.0,1.5
4,25,19.0,130.0,2.1
4,25,20.0,130.0,1.5
4,26,3.0,100.0,2.1
4,26,10.0,100.0,1.5
4,26,15.0,100.0,2.1
4,26,16.0,100.0,2.1
4,26,18.0,130.0,2.1
4,27,2.0,350.0,3.6
4,27,8.0,350.0,4.1
4,27,9.0,330.0,4.1
4,27,11.0,350.0,3.6
4,27,13.0,330.0,4.1
4,27,14.0,340.0,3.6
4,27,15.0,340.0,4.6
4,27,17.0,350.0,3.6
